2024-08-19T02:41:32.682+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | Running Changeset: db.changelog/changes/create_sequence.xml::create-sequence-table::s.asadiyan
2024-08-19T02:41:32.710+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | Table reference_number_seq created
2024-08-19T02:41:32.711+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | ChangeSet db.changelog/changes/create_sequence.xml::create-sequence-table::s.asadiyan ran successfully in 28ms
2024-08-19T02:41:32.718+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | Running Changeset: db.changelog/changes/create_sequence.xml::create-sequence-procedure::s.asadiyan
2024-08-19T02:41:32.732+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | Custom SQL executed
2024-08-19T02:41:32.733+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | ChangeSet db.changelog/changes/create_sequence.xml::create-sequence-procedure::s.asadiyan ran successfully in 14ms
2024-08-19T02:41:32.738+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | Running Changeset: db.changelog/changes/create_tables.xml::2::s.asadiyan
2024-08-19T02:41:32.761+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | Table simple_user created
2024-08-19T02:41:32.761+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | ChangeSet db.changelog/changes/create_tables.xml::2::s.asadiyan ran successfully in 23ms
2024-08-19T02:41:32.768+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | Running Changeset: db.changelog/changes/create_tables.xml::3::s.asadiyan
2024-08-19T02:41:32.793+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | Table simple_account created
2024-08-19T02:41:32.854+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | Foreign key constraint added to simple_account (user_id)
2024-08-19T02:41:32.854+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | ChangeSet db.changelog/changes/create_tables.xml::3::s.asadiyan ran successfully in 85ms
2024-08-19T02:41:32.861+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | Running Changeset: db.changelog/changes/create_tables.xml::1::s.asadiyan
2024-08-19T02:41:32.885+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | Table simple_journal created
2024-08-19T02:41:32.940+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | Foreign key constraint added to simple_journal (account_id)
2024-08-19T02:41:32.941+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | ChangeSet db.changelog/changes/create_tables.xml::1::s.asadiyan ran successfully in 79ms
2024-08-19T02:41:32.946+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | Running Changeset: db.changelog/changes/create_init_data.xml::insert-default-user::s.asadiyan
2024-08-19T02:41:32.950+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | Custom SQL executed
2024-08-19T02:41:32.952+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | Custom SQL executed
2024-08-19T02:41:32.954+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | Custom SQL executed
2024-08-19T02:41:32.958+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | ChangeSet db.changelog/changes/create_init_data.xml::insert-default-user::s.asadiyan ran successfully in 11ms
2024-08-19T02:41:32.962+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | Running Changeset: db.changelog/changes/create_init_data.xml::insert-suspend-user::s.asadiyan
2024-08-19T02:41:32.965+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | Custom SQL executed
2024-08-19T02:41:32.967+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | Custom SQL executed
2024-08-19T02:41:32.969+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | Custom SQL executed
2024-08-19T02:41:32.972+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | ChangeSet db.changelog/changes/create_init_data.xml::insert-suspend-user::s.asadiyan ran successfully in 10ms
2024-08-19T02:41:32.982+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | UPDATE SUMMARY
2024-08-19T02:41:32.983+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | Run:                          7
2024-08-19T02:41:32.983+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | Previously run:               0
2024-08-19T02:41:32.983+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | Filtered out:                 0
2024-08-19T02:41:32.983+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | -------------------------------
2024-08-19T02:41:32.983+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | Total change sets:            7
2024-08-19T02:41:32.984+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | Update summary generated
2024-08-19T02:41:32.985+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | Update command completed successfully.
2024-08-19T02:41:32.985+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | Liquibase: Update has been successful. Rows affected: 13
2024-08-19T02:41:32.991+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | Successfully released change log lock
2024-08-19T02:41:32.992+03:30 | INFO | [main] | l.l.c.JavaLogger | ,, | Command execution complete
2024-08-19T02:41:33.085+03:30 | INFO | [main] | o.h.j.i.u.LogHelper | ,, | HHH000204: Processing PersistenceUnitInfo [name: default]
2024-08-19T02:41:33.118+03:30 | INFO | [main] | o.h.Version | ,, | HHH000412: Hibernate ORM core version 6.5.2.Final
2024-08-19T02:41:33.138+03:30 | INFO | [main] | o.h.c.i.RegionFactoryInitiator | ,, | HHH000026: Second-level cache disabled
2024-08-19T02:41:33.311+03:30 | INFO | [main] | o.s.o.j.p.SpringPersistenceUnitInfo | ,, | No LoadTimeWeaver setup: ignoring JPA class transformer
2024-08-19T02:41:33.338+03:30 | WARN | [main] | o.h.e.j.d.i.DialectFactoryImpl | ,, | HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-08-19T02:41:33.339+03:30 | WARN | [main] | o.h.e.j.d.i.DialectFactoryImpl | ,, | HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
2024-08-19T02:41:33.892+03:30 | INFO | [main] | o.h.e.t.j.p.i.JtaPlatformInitiator | ,, | HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
